Date,FOODS_1_018_CA_3_evaluation,FOODS_1_021_CA_3_evaluation,FOODS_1_023_CA_3_evaluation,FOODS_1_046_CA_3_evaluation,FOODS_1_082_CA_3_evaluation,FOODS_1_085_CA_3_evaluation,FOODS_1_087_CA_3_evaluation,FOODS_1_099_CA_3_evaluation,FOODS_1_139_CA_3_evaluation,FOODS_1_161_CA_3_evaluation,FOODS_1_170_CA_3_evaluation,FOODS_1_208_CA_3_evaluation,FOODS_1_218_CA_3_evaluation,FOODS_2_013_CA_3_evaluation,FOODS_2_016_CA_3_evaluation,FOODS_2_019_CA_3_evaluation,FOODS_2_030_CA_3_evaluation,FOODS_2_181_CA_3_evaluation,FOODS_2_197_CA_3_evaluation,FOODS_2_233_CA_3_evaluation,FOODS_2_293_CA_3_evaluation,FOODS_2_325_CA_3_evaluation,FOODS_2_347_CA_3_evaluation,FOODS_2_357_CA_3_evaluation,FOODS_3_023_CA_3_evaluation,FOODS_3_064_CA_3_evaluation,FOODS_3_080_CA_3_evaluation,FOODS_3_082_CA_3_evaluation,FOODS_3_099_CA_3_evaluation,FOODS_3_100_CA_3_evaluation,FOODS_3_107_CA_3_evaluation,FOODS_3_113_CA_3_evaluation,FOODS_3_121_CA_3_evaluation,FOODS_3_127_CA_3_evaluation,FOODS_3_144_CA_3_evaluation,FOODS_3_156_CA_3_evaluation,FOODS_3_202_CA_3_evaluation,FOODS_3_203_CA_3_evaluation,FOODS_3_217_CA_3_evaluation,FOODS_3_226_CA_3_evaluation,FOODS_3_228_CA_3_evaluation,FOODS_3_230_CA_3_evaluation,FOODS_3_232_CA_3_evaluation,FOODS_3_239_CA_3_evaluation,FOODS_3_250_CA_3_evaluation,FOODS_3_252_CA_3_evaluation,FOODS_3_258_CA_3_evaluation,FOODS_3_259_CA_3_evaluation,FOODS_3_265_CA_3_evaluation,FOODS_3_280_CA_3_evaluation,FOODS_3_300_CA_3_evaluation,FOODS_3_304_CA_3_evaluation,FOODS_3_313_CA_3_evaluation,FOODS_3_335_CA_3_evaluation,FOODS_3_349_CA_3_evaluation,FOODS_3_369_CA_3_evaluation,FOODS_3_377_CA_3_evaluation,FOODS_3_389_CA_3_evaluation,FOODS_3_400_CA_3_evaluation,FOODS_3_407_CA_3_evaluation,FOODS_3_428_CA_3_evaluation,FOODS_3_450_CA_3_evaluation,FOODS_3_458_CA_3_evaluation,FOODS_3_473_CA_3_evaluation,FOODS_3_477_CA_3_evaluation,FOODS_3_481_CA_3_evaluation,FOODS_3_508_CA_3_evaluation,FOODS_3_513_CA_3_evaluation,FOODS_3_530_CA_3_evaluation,FOODS_3_555_CA_3_evaluation,FOODS_3_559_CA_3_evaluation,FOODS_3_562_CA_3_evaluation,FOODS_3_570_CA_3_evaluation,FOODS_3_585_CA_3_evaluation,FOODS_3_586_CA_3_evaluation,FOODS_3_587_CA_3_evaluation,FOODS_3_610_CA_3_evaluation,FOODS_3_632_CA_3_evaluation,FOODS_3_648_CA_3_evaluation,FOODS_3_652_CA_3_evaluation,FOODS_3_654_CA_3_evaluation,FOODS_3_655_CA_3_evaluation,FOODS_3_668_CA_3_evaluation,FOODS_3_674_CA_3_evaluation,FOODS_3_679_CA_3_evaluation,FOODS_3_694_CA_3_evaluation,FOODS_3_697_CA_3_evaluation,FOODS_3_702_CA_3_evaluation,FOODS_3_704_CA_3_evaluation,FOODS_3_712_CA_3_evaluation,FOODS_3_714_CA_3_evaluation,FOODS_3_721_CA_3_evaluation,FOODS_3_741_CA_3_evaluation,FOODS_3_752_CA_3_evaluation,FOODS_3_756_CA_3_evaluation,FOODS_3_765_CA_3_evaluation,FOODS_3_775_CA_3_evaluation,FOODS_3_792_CA_3_evaluation,FOODS_3_819_CA_3_evaluation,FOODS_3_820_CA_3_evaluation
2013/05/13,4,0,1,4,0,3,0,1,8,1,11,2,23,7,7,20,5,4,33,3,9,9,17,2,2,15,21,1,17,1,0,11,8,2,2,6,32,4,4,16,14,1,3,1,0,50,5,5,1,0,0,4,7,0,2,0,12,1,11,6,2,3,12,14,7,9,5,3,5,45,3,4,23,3,76,1,6,3,7,5,1,6,8,2,1,27,17,20,3,3,26,2,8,28,10,1,0,1,3,2
2013/05/14,3,2,0,3,0,6,1,0,4,0,7,1,29,5,5,19,5,9,20,3,7,6,8,2,6,10,22,0,8,3,0,23,4,4,1,7,34,3,2,13,9,0,1,1,0,41,8,5,4,0,4,5,13,1,8,6,24,4,4,7,4,4,5,6,3,7,3,4,5,28,1,3,17,0,80,2,5,3,4,7,1,3,12,4,0,21,5,18,5,3,37,2,21,76,1,0,3,12,3,1
2013/05/15,5,1,2,2,0,4,2,1,6,3,12,2,18,4,11,21,1,10,16,3,8,6,13,3,6,8,17,2,14,9,2,6,7,2,1,0,33,1,0,10,9,3,4,1,0,35,8,6,0,0,2,6,6,0,5,6,18,21,0,3,2,1,3,4,4,8,2,0,7,33,3,3,12,4,57,2,5,6,2,3,0,4,10,4,0,24,5,19,9,4,23,1,18,26,0,1,0,0,2,0
2013/05/16,1,0,11,3,4,6,5,1,8,5,2,7,17,9,0,11,2,10,11,4,6,5,9,2,5,14,22,6,10,0,0,3,3,2,1,5,24,0,1,13,6,4,6,1,0,26,9,10,4,0,2,7,5,0,1,0,15,13,2,7,3,2,3,16,5,5,0,2,5,24,0,2,15,1,63,1,0,2,1,2,1,3,4,4,0,18,19,12,9,1,14,4,3,10,3,3,0,10,2,2
2013/05/17,6,2,4,2,3,9,7,8,13,2,11,1,40,6,2,16,5,6,21,5,3,2,4,2,1,0,22,2,7,3,0,4,4,5,0,2,34,4,1,11,13,5,3,2,0,52,3,5,0,0,4,2,5,0,3,2,11,20,3,3,3,2,12,4,3,6,2,1,5,30,1,3,18,3,82,0,6,1,2,7,1,7,18,0,0,27,13,17,3,4,21,5,0,21,3,2,1,0,7,2
2013/05/18,8,0,5,5,5,9,3,9,4,2,9,2,26,5,4,8,4,10,27,1,19,8,8,2,4,0,25,3,8,3,0,10,3,6,2,0,31,1,3,16,11,2,1,1,2,49,6,2,2,0,4,5,7,1,6,5,14,35,8,7,5,1,3,7,7,2,3,1,5,42,1,4,7,5,68,3,2,4,6,5,3,0,8,12,1,22,19,17,12,0,38,5,0,56,4,0,2,7,5,0
2013/05/19,6,2,0,1,3,10,0,11,4,2,8,8,19,6,9,29,7,13,31,7,6,11,12,3,6,4,19,3,11,7,0,6,4,3,0,2,48,0,2,14,14,4,2,1,2,53,13,9,6,1,4,9,7,2,2,11,13,29,4,8,7,5,4,11,11,7,0,5,2,51,2,7,16,4,75,1,4,0,2,5,1,10,10,4,1,23,10,20,8,6,35,4,0,46,5,0,4,16,14,1
2013/05/20,4,1,0,1,2,4,5,0,6,1,11,1,15,8,5,10,4,7,22,3,7,12,10,1,5,6,16,1,6,2,1,7,0,0,2,3,32,2,0,9,12,2,2,0,0,50,4,4,0,0,4,5,6,0,5,5,13,19,2,0,2,2,9,11,4,6,0,1,10,24,1,1,17,2,83,0,0,2,2,2,0,2,6,2,2,31,11,20,6,9,36,4,2,22,2,0,0,9,2,1
2013/05/21,5,1,7,4,2,2,5,5,4,0,3,11,7,4,9,4,0,14,18,5,6,13,17,3,2,2,15,2,4,2,2,16,0,3,0,0,25,1,1,5,10,0,0,0,1,33,1,5,4,2,6,6,8,0,1,1,15,11,2,4,4,5,4,2,4,3,2,2,9,20,1,2,11,1,74,0,0,3,4,3,1,0,15,0,0,34,4,14,5,3,26,7,6,10,2,0,2,8,5,2
2013/05/22,12,1,2,5,0,2,2,3,6,2,11,7,4,2,8,16,7,10,25,2,8,6,7,1,5,3,12,2,9,4,0,3,3,1,3,3,24,3,5,8,12,1,1,0,4,36,8,11,3,1,2,4,7,0,6,2,11,19,3,4,12,2,4,5,5,2,2,2,7,13,1,3,12,3,45,0,6,2,1,5,1,5,11,4,0,17,2,1,7,0,20,0,11,13,4,1,4,20,1,0
2013/05/23,14,0,9,7,2,3,3,8,8,2,5,7,2,5,1,10,0,8,25,2,12,12,7,2,3,6,20,4,13,2,1,3,0,3,0,1,30,0,0,8,11,2,1,0,2,32,3,5,1,1,1,4,0,2,1,0,12,10,2,6,0,3,7,1,14,4,3,3,5,20,1,2,20,1,63,0,2,2,2,4,1,7,7,5,0,22,18,0,6,0,13,3,7,8,5,2,0,7,3,0
2013/05/24,10,0,2,6,1,3,0,10,3,7,11,5,7,5,10,16,2,5,30,0,10,11,11,1,3,4,21,4,7,1,0,3,5,3,0,4,29,3,1,7,7,3,6,0,5,29,13,9,0,2,0,7,0,1,2,8,10,18,7,5,1,4,4,13,4,10,0,2,6,20,0,3,16,1,79,1,2,0,2,0,2,1,17,6,1,23,4,0,11,0,24,0,10,27,3,2,1,15,2,4
2013/05/25,21,1,5,7,2,13,4,6,4,10,7,4,9,2,7,15,8,12,14,3,10,4,8,3,2,3,15,1,28,3,0,5,4,2,0,2,36,4,0,12,10,2,2,6,0,53,12,3,0,2,6,10,10,0,7,0,10,21,3,4,3,2,4,6,10,3,2,0,10,28,1,3,23,0,73,2,0,3,3,5,3,5,4,6,0,22,7,1,11,1,22,1,2,16,4,1,1,10,1,3
2013/05/26,51,0,4,7,2,10,1,3,11,6,6,4,13,7,1,11,2,2,12,3,9,5,10,7,7,0,31,1,13,4,1,19,8,3,1,4,44,1,2,16,13,2,8,0,0,38,0,9,0,0,2,2,5,1,5,3,12,28,4,5,4,3,4,4,4,2,4,4,4,38,0,2,15,6,72,1,0,1,4,5,2,5,11,5,1,23,15,0,9,2,31,3,6,20,5,2,1,12,3,0
2013/05/27,19,3,3,4,1,9,4,7,8,2,9,1,26,6,6,17,3,10,23,4,9,10,14,1,5,0,19,0,14,3,1,8,5,1,1,3,33,4,1,9,9,4,2,4,0,33,0,11,0,0,12,5,10,0,2,0,9,18,3,4,1,1,1,9,9,8,0,2,7,28,1,2,15,4,66,0,0,4,0,3,1,4,12,7,0,25,8,1,7,4,21,2,6,12,1,4,0,6,3,3
2013/05/28,11,1,1,5,3,6,2,6,5,1,6,3,6,3,5,11,1,8,20,4,13,7,14,2,3,11,24,1,16,2,0,4,5,1,1,4,27,6,5,7,8,1,2,0,0,29,10,3,0,1,5,4,7,0,2,3,10,16,1,4,2,1,4,6,8,22,4,1,7,24,7,0,15,3,59,7,10,1,3,4,0,1,6,3,0,18,5,24,6,1,15,1,9,12,5,7,2,6,4,1
2013/05/29,5,1,3,8,0,4,3,5,5,2,4,1,10,2,11,5,2,9,11,1,3,2,5,0,1,7,15,2,7,3,0,4,6,0,1,1,20,2,1,16,11,0,1,1,1,27,8,0,0,5,2,6,1,0,1,4,11,16,2,4,1,6,1,2,4,6,1,0,5,12,1,7,16,1,44,0,2,2,0,7,0,4,1,3,0,18,10,17,11,2,8,4,6,25,0,0,0,8,0,3
2013/05/30,0,0,5,11,6,4,1,3,10,3,8,1,12,5,0,10,1,6,11,2,7,4,17,6,7,2,23,5,8,4,0,1,3,3,0,0,30,3,0,8,5,1,0,1,2,29,5,10,1,2,2,5,6,0,3,4,13,28,6,6,4,1,0,5,4,2,2,1,8,27,0,4,9,3,52,1,0,3,1,4,1,5,2,3,0,20,5,26,7,1,22,4,9,2,2,0,1,7,5,2
2013/05/31,9,1,6,13,2,7,3,6,0,7,7,4,11,7,3,15,7,7,22,1,8,0,15,3,5,0,17,2,12,3,3,13,8,2,0,6,32,0,0,11,13,1,5,0,0,69,1,4,3,0,5,9,6,0,0,1,10,27,1,4,2,0,6,10,5,2,0,2,7,25,0,1,9,4,81,0,0,1,2,3,4,4,9,5,1,19,11,27,7,3,21,3,7,35,4,0,0,9,3,4
2013/06/01,13,0,3,8,3,4,2,3,12,4,9,2,15,7,3,9,6,12,24,1,8,9,12,5,2,0,28,2,18,5,1,6,2,2,1,4,46,1,0,22,11,2,7,0,5,90,0,8,4,0,9,1,4,0,7,0,13,34,2,5,4,1,2,4,5,2,5,0,6,42,0,4,13,4,104,1,0,6,4,5,4,7,14,3,0,43,11,19,11,3,56,5,6,8,6,1,0,8,3,0
