SKU,init_stock,vlt
FOODS_1_018_CA_3_evaluation,33,1
FOODS_1_021_CA_3_evaluation,7,3
FOODS_1_023_CA_3_evaluation,23,4
FOODS_1_046_CA_3_evaluation,20,1
FOODS_1_082_CA_3_evaluation,15,3
FOODS_1_085_CA_3_evaluation,47,1
FOODS_1_087_CA_3_evaluation,18,2
FOODS_1_099_CA_3_evaluation,31,3
FOODS_1_139_CA_3_evaluation,47,3
FOODS_1_161_CA_3_evaluation,15,2
FOODS_1_170_CA_3_evaluation,60,1
FOODS_1_208_CA_3_evaluation,23,1
FOODS_1_218_CA_3_evaluation,172,2
FOODS_2_013_CA_3_evaluation,42,3
FOODS_2_016_CA_3_evaluation,38,1
FOODS_2_019_CA_3_evaluation,124,1
FOODS_2_030_CA_3_evaluation,29,1
FOODS_2_181_CA_3_evaluation,62,1
FOODS_2_197_CA_3_evaluation,159,1
FOODS_2_233_CA_3_evaluation,26,2
FOODS_2_293_CA_3_evaluation,58,4
FOODS_2_325_CA_3_evaluation,47,1
FOODS_2_347_CA_3_evaluation,71,3
FOODS_2_357_CA_3_evaluation,16,1
FOODS_3_023_CA_3_evaluation,30,3
FOODS_3_064_CA_3_evaluation,51,2
FOODS_3_080_CA_3_evaluation,148,2
FOODS_3_082_CA_3_evaluation,17,2
FOODS_3_099_CA_3_evaluation,75,1
FOODS_3_100_CA_3_evaluation,26,2
FOODS_3_107_CA_3_evaluation,2,2
FOODS_3_113_CA_3_evaluation,63,1
FOODS_3_121_CA_3_evaluation,33,2
FOODS_3_127_CA_3_evaluation,24,1
FOODS_3_144_CA_3_evaluation,7,4
FOODS_3_156_CA_3_evaluation,22,2
FOODS_3_202_CA_3_evaluation,236,1
FOODS_3_203_CA_3_evaluation,13,1
FOODS_3_217_CA_3_evaluation,13,3
FOODS_3_226_CA_3_evaluation,93,1
FOODS_3_228_CA_3_evaluation,76,3
FOODS_3_230_CA_3_evaluation,19,1
FOODS_3_232_CA_3_evaluation,20,1
FOODS_3_239_CA_3_evaluation,8,1
FOODS_3_250_CA_3_evaluation,4,2
FOODS_3_252_CA_3_evaluation,306,5
FOODS_3_258_CA_3_evaluation,52,1
FOODS_3_259_CA_3_evaluation,42,2
FOODS_3_265_CA_3_evaluation,17,1
FOODS_3_280_CA_3_evaluation,1,1
FOODS_3_300_CA_3_evaluation,20,2
FOODS_3_304_CA_3_evaluation,38,1
FOODS_3_313_CA_3_evaluation,50,6
FOODS_3_335_CA_3_evaluation,4,4
FOODS_3_349_CA_3_evaluation,27,2
FOODS_3_369_CA_3_evaluation,30,1
FOODS_3_377_CA_3_evaluation,107,2
FOODS_3_389_CA_3_evaluation,123,3
FOODS_3_400_CA_3_evaluation,32,2
FOODS_3_407_CA_3_evaluation,41,6
FOODS_3_428_CA_3_evaluation,26,1
FOODS_3_450_CA_3_evaluation,18,1
FOODS_3_458_CA_3_evaluation,42,2
FOODS_3_473_CA_3_evaluation,62,1
FOODS_3_477_CA_3_evaluation,40,3
FOODS_3_481_CA_3_evaluation,44,1
FOODS_3_508_CA_3_evaluation,15,2
FOODS_3_513_CA_3_evaluation,16,1
FOODS_3_530_CA_3_evaluation,34,1
FOODS_3_555_CA_3_evaluation,253,2
FOODS_3_559_CA_3_evaluation,11,2
FOODS_3_562_CA_3_evaluation,26,4
FOODS_3_570_CA_3_evaluation,108,1
FOODS_3_585_CA_3_evaluation,20,2
FOODS_3_586_CA_3_evaluation,501,2
FOODS_3_587_CA_3_evaluation,10,1
FOODS_3_610_CA_3_evaluation,28,3
FOODS_3_632_CA_3_evaluation,19,3
FOODS_3_648_CA_3_evaluation,24,2
FOODS_3_652_CA_3_evaluation,34,2
FOODS_3_654_CA_3_evaluation,8,1
FOODS_3_655_CA_3_evaluation,33,1
FOODS_3_668_CA_3_evaluation,70,1
FOODS_3_674_CA_3_evaluation,30,1
FOODS_3_679_CA_3_evaluation,3,3
FOODS_3_694_CA_3_evaluation,162,2
FOODS_3_697_CA_3_evaluation,88,3
FOODS_3_702_CA_3_evaluation,123,1
FOODS_3_704_CA_3_evaluation,49,2
FOODS_3_712_CA_3_evaluation,21,2
FOODS_3_714_CA_3_evaluation,194,1
FOODS_3_721_CA_3_evaluation,23,2
FOODS_3_741_CA_3_evaluation,50,2
FOODS_3_752_CA_3_evaluation,263,1
FOODS_3_756_CA_3_evaluation,26,2
FOODS_3_765_CA_3_evaluation,7,1
FOODS_3_775_CA_3_evaluation,10,1
FOODS_3_792_CA_3_evaluation,46,2
FOODS_3_819_CA_3_evaluation,36,1
FOODS_3_820_CA_3_evaluation,8,1
