Date,HOBBIES_1_004_CA_2_evaluation,HOBBIES_1_008_CA_2_evaluation,HOBBIES_1_014_CA_2_evaluation,HOBBIES_1_015_CA_2_evaluation,HOBBIES_1_016_CA_2_evaluation,HOBBIES_1_021_CA_2_evaluation,HOBBIES_1_043_CA_2_evaluation,HOBBIES_1_048_CA_2_evaluation,HOBBIES_1_079_CA_2_evaluation,HOBBIES_1_085_CA_2_evaluation,HOBBIES_1_103_CA_2_evaluation,HOBBIES_1_105_CA_2_evaluation,HOBBIES_1_108_CA_2_evaluation,HOBBIES_1_134_CA_2_evaluation,HOBBIES_1_144_CA_2_evaluation,HOBBIES_1_148_CA_2_evaluation,HOBBIES_1_149_CA_2_evaluation,HOBBIES_1_151_CA_2_evaluation,HOBBIES_1_157_CA_2_evaluation,HOBBIES_1_173_CA_2_evaluation,HOBBIES_1_178_CA_2_evaluation,HOBBIES_1_179_CA_2_evaluation,HOBBIES_1_189_CA_2_evaluation,HOBBIES_1_201_CA_2_evaluation,HOBBIES_1_215_CA_2_evaluation,HOBBIES_1_244_CA_2_evaluation,HOBBIES_1_254_CA_2_evaluation,HOBBIES_1_256_CA_2_evaluation,HOBBIES_1_279_CA_2_evaluation,HOBBIES_1_287_CA_2_evaluation,HOBBIES_1_297_CA_2_evaluation,HOBBIES_1_319_CA_2_evaluation,HOBBIES_1_323_CA_2_evaluation,HOBBIES_1_324_CA_2_evaluation,HOBBIES_1_329_CA_2_evaluation,HOBBIES_1_337_CA_2_evaluation,HOBBIES_1_341_CA_2_evaluation,HOBBIES_1_348_CA_2_evaluation,HOBBIES_1_350_CA_2_evaluation,HOBBIES_1_356_CA_2_evaluation,HOBBIES_1_364_CA_2_evaluation,HOBBIES_1_370_CA_2_evaluation,HOBBIES_1_371_CA_2_evaluation,HOBBIES_1_379_CA_2_evaluation,HOBBIES_1_381_CA_2_evaluation,HOBBIES_1_404_CA_2_evaluation,HOBBIES_1_416_CA_2_evaluation,HOBBIES_1_420_CA_2_evaluation,HOUSEHOLD_1_003_CA_2_evaluation,HOUSEHOLD_1_007_CA_2_evaluation,HOUSEHOLD_1_012_CA_2_evaluation,HOUSEHOLD_1_014_CA_2_evaluation,HOUSEHOLD_1_025_CA_2_evaluation,HOUSEHOLD_1_027_CA_2_evaluation,HOUSEHOLD_1_038_CA_2_evaluation,HOUSEHOLD_1_047_CA_2_evaluation,HOUSEHOLD_1_048_CA_2_evaluation,HOUSEHOLD_1_055_CA_2_evaluation,HOUSEHOLD_1_061_CA_2_evaluation,HOUSEHOLD_1_072_CA_2_evaluation,HOUSEHOLD_1_075_CA_2_evaluation,HOUSEHOLD_1_079_CA_2_evaluation,HOUSEHOLD_1_082_CA_2_evaluation,HOUSEHOLD_1_083_CA_2_evaluation,HOUSEHOLD_1_087_CA_2_evaluation,HOUSEHOLD_1_095_CA_2_evaluation,HOUSEHOLD_1_099_CA_2_evaluation,HOUSEHOLD_1_107_CA_2_evaluation,HOUSEHOLD_1_121_CA_2_evaluation,HOUSEHOLD_1_122_CA_2_evaluation,HOUSEHOLD_1_129_CA_2_evaluation,HOUSEHOLD_1_141_CA_2_evaluation,HOUSEHOLD_1_153_CA_2_evaluation,HOUSEHOLD_1_158_CA_2_evaluation,HOUSEHOLD_1_165_CA_2_evaluation,HOUSEHOLD_1_170_CA_2_evaluation,HOUSEHOLD_1_176_CA_2_evaluation,HOUSEHOLD_1_188_CA_2_evaluation,HOUSEHOLD_1_192_CA_2_evaluation,HOUSEHOLD_1_194_CA_2_evaluation,HOUSEHOLD_1_197_CA_2_evaluation,HOUSEHOLD_1_198_CA_2_evaluation,HOUSEHOLD_1_202_CA_2_evaluation,HOUSEHOLD_1_204_CA_2_evaluation,HOUSEHOLD_1_205_CA_2_evaluation,HOUSEHOLD_1_212_CA_2_evaluation,HOUSEHOLD_1_215_CA_2_evaluation,HOUSEHOLD_1_218_CA_2_evaluation,HOUSEHOLD_1_220_CA_2_evaluation,HOUSEHOLD_1_232_CA_2_evaluation,HOUSEHOLD_1_235_CA_2_evaluation,HOUSEHOLD_1_238_CA_2_evaluation,HOUSEHOLD_1_241_CA_2_evaluation,HOUSEHOLD_1_243_CA_2_evaluation,HOUSEHOLD_1_247_CA_2_evaluation,HOUSEHOLD_1_249_CA_2_evaluation,HOUSEHOLD_1_262_CA_2_evaluation,HOUSEHOLD_1_268_CA_2_evaluation,HOUSEHOLD_1_275_CA_2_evaluation,HOUSEHOLD_1_280_CA_2_evaluation
2013/05/13,0,6,0,1,0,0,0,0,0,1,2,0,0,9,1,1,1,1,1,0,0,0,3,0,0,6,1,1,0,0,0,6,2,1,0,0,2,3,0,0,0,4,2,2,0,3,0,2,0,1,0,2,1,2,1,0,0,6,1,12,2,1,0,0,2,0,2,2,0,0,6,0,0,0,0,0,4,0,0,2,0,0,0,2,4,1,3,1,1,0,3,2,0,0,4,0,1,1,1,1
2013/05/14,0,12,0,24,1,1,6,4,0,1,1,1,0,4,1,0,1,1,0,0,17,0,0,0,2,0,4,6,3,0,2,0,2,0,1,7,11,18,0,0,3,6,11,0,8,4,2,0,0,4,0,1,0,2,1,0,1,0,3,2,0,2,0,7,0,0,3,1,0,2,1,1,0,4,1,0,2,4,1,2,2,1,0,0,2,1,3,1,2,0,2,0,1,2,1,2,3,0,4,1
2013/05/15,17,16,1,2,0,1,5,6,0,0,3,1,1,7,0,0,0,1,0,1,4,0,1,1,1,1,3,11,2,0,1,3,1,0,2,1,5,5,0,2,0,2,11,1,2,0,0,0,2,0,2,0,1,5,1,0,2,5,2,3,3,1,0,3,1,0,1,0,0,1,0,0,0,2,2,2,0,1,0,2,1,5,2,0,2,2,3,0,0,0,0,0,0,1,1,2,4,1,4,0
2013/05/16,4,6,1,2,0,0,0,18,0,2,1,3,0,3,1,0,0,2,5,0,8,0,4,2,2,2,1,4,1,4,1,1,0,0,3,1,8,0,0,2,0,2,8,2,1,2,2,0,1,0,2,1,0,1,0,0,0,4,1,0,0,1,0,10,1,0,1,2,0,2,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,2,0,1,0,3,0,1,1,0,3,6,0,2,0
2013/05/17,0,8,1,0,1,1,3,8,1,0,2,0,2,4,1,0,0,0,0,0,0,0,1,0,2,1,9,10,1,4,0,0,0,1,0,0,0,0,1,2,1,2,2,0,0,2,2,1,3,2,0,1,1,1,2,0,4,4,1,3,0,0,2,10,4,0,1,4,0,2,1,0,1,2,2,4,0,2,1,2,3,6,3,1,0,0,0,2,0,0,0,3,1,4,1,2,4,3,4,0
2013/05/18,5,6,3,14,26,1,0,24,1,1,1,1,3,9,0,0,2,0,0,1,25,2,7,1,6,12,4,7,2,0,0,7,4,0,0,3,20,16,0,1,1,4,12,0,0,29,1,5,1,1,1,3,2,4,3,0,2,4,4,1,2,2,1,6,1,0,2,3,0,1,2,0,5,2,1,4,2,0,0,3,2,10,1,0,4,0,0,4,2,0,3,4,3,0,0,3,3,1,5,2
2013/05/19,0,4,3,2,0,0,1,4,1,1,4,0,1,6,1,4,1,0,1,1,21,4,7,1,4,5,3,10,0,0,1,0,1,1,4,3,2,21,0,0,0,6,4,0,18,2,1,4,1,3,2,2,0,7,0,0,0,4,2,7,1,3,1,0,0,2,1,1,2,5,1,0,0,1,3,0,1,1,0,5,5,3,1,0,3,5,1,2,2,0,2,0,6,1,0,0,9,0,1,5
2013/05/20,4,8,0,12,0,1,1,4,0,0,0,0,0,6,1,0,1,0,0,0,9,0,5,0,1,3,0,6,1,0,1,1,0,1,0,0,0,3,1,1,2,5,4,0,4,7,0,0,0,3,2,2,0,3,1,0,0,3,2,8,0,2,0,0,1,1,1,1,1,3,5,0,2,1,2,0,0,0,1,1,1,4,2,1,3,1,0,1,2,0,1,1,0,2,3,0,1,0,4,1
2013/05/21,8,11,0,4,0,1,2,2,0,1,0,0,2,1,2,1,2,0,1,0,0,0,1,2,0,8,1,0,0,4,1,0,0,0,0,1,2,6,0,0,1,7,1,0,0,13,0,0,4,1,1,0,0,7,1,0,2,1,3,1,3,1,1,7,2,0,0,2,1,2,1,0,1,0,0,2,0,1,1,1,2,10,1,0,4,1,2,2,2,0,1,0,0,2,1,3,7,1,2,2
2013/05/22,3,4,0,0,0,0,24,6,0,0,25,0,1,7,0,0,2,0,1,0,5,0,1,1,0,1,1,0,0,0,0,2,1,0,1,3,4,10,0,6,2,1,1,0,0,7,1,3,3,3,2,0,2,2,1,0,2,2,1,4,0,1,1,5,1,0,1,1,0,2,1,0,0,0,1,1,0,1,1,0,3,3,0,0,0,1,1,3,0,1,2,0,0,1,3,3,1,1,0,0
